SeccionCensal;F-of-M
4100404028;15,12Ê%
0615801006;15,12Ê%
0608303009;15,12Ê%
1706604009;15,12Ê%
3002401027;15,12Ê%
4390501012;15,13Ê%
1891101003;15,13Ê%
1303404010;15,13Ê%
1507804008;15,13Ê%
2801304004;15,13Ê%
0608801005;15,13Ê%
0808601007;15,13Ê%
1709504004;15,14Ê%
3001607013;15,14Ê%
2807908173;15,14Ê%
4622006002;15,14Ê%
3004301020;15,14Ê%
0800101004;15,15Ê%
1100602009;15,16Ê%
4802005026;15,16Ê%
0818704020;15,16Ê%
4602101013;15,16Ê%
4718606039;15,16Ê%
1501901023;15,16Ê%
1101505005;15,16Ê%
3605709019;15,17Ê%
4622301004;15,17Ê%
0816701004;15,17Ê%
0501906013;15,17Ê%
3001608018;15,17Ê%
2903802008;15,17Ê%
0702604023;15,18Ê%
0202901001;15,18Ê%
0490201039;15,18Ê%
2804801001;15,18Ê%
2814803005;15,18Ê%
0801901010;15,18Ê%
5018201003;15,19Ê%
1904601004;15,19Ê%
0827904008;15,19Ê%
2807917045;15,19Ê%
1607803008;15,19Ê%
2814804019;15,20Ê%
0407902018;15,20Ê%
4504101001;15,20Ê%
3003004026;15,20Ê%
3502602004;15,20Ê%
1917101002;15,20Ê%
1103101015;15,20Ê%
3803811002;15,21Ê%
3711701001;15,21Ê%
0824506016;15,21Ê%
1104102006;15,21Ê%
2005504003;15,21Ê%
3503401002;15,22Ê%
1913301001;15,22Ê%
0704601001;15,22Ê%
4804601004;15,22Ê%
0410101002;15,22Ê%
3000901007;15,22Ê%
0312201014;15,22Ê%
3003005007;15,22Ê%
3907508026;15,23Ê%
0704001001;15,23Ê%
3003701008;15,23Ê%
3003702005;15,23Ê%
1814004013;15,23Ê%
0103601004;15,23Ê%
3002402029;15,23Ê%
2807916114;15,24Ê%
3501503002;15,24Ê%
3907401005;15,24Ê%
3002201015;15,24Ê%
2907001015;15,25Ê%
3702301001;15,25Ê%
0801901043;15,26Ê%
4715501002;15,26Ê%
1707902011;15,26Ê%
4600701001;15,26Ê%
2807917029;15,26Ê%
3908703002;15,27Ê%
4104901004;15,27Ê%
0801910057;15,27Ê%
2807903025;15,27Ê%
0830504008;15,27Ê%
4109401002;15,27Ê%
4102102004;15,27Ê%
2906708033;15,27Ê%
3304406015;15,27Ê%
4109104058;15,28Ê%
0490201013;15,28Ê%
2990101030;15,28Ê%
4519901002;15,28Ê%
1102006006;15,28Ê%
1500203015;15,29Ê%
1501101008;15,29Ê%
1307101002;15,29Ê%
0702604007;15,29Ê%
2814901001;15,30Ê%
3304406021;15,30Ê%
0105903036;15,30Ê%
4107001001;15,30Ê%
3001301009;15,31Ê%
3302405021;15,32Ê%
0801901011;15,32Ê%
2100503004;15,33Ê%
4602903010;15,33Ê%
4619901003;15,33Ê%
2807916106;15,33Ê%
4103901002;15,34Ê%
4601702008;15,34Ê%
2807917111;15,34Ê%
2003201006;15,34Ê%
2906903008;15,34Ê%
0314001002;15,35Ê%
2807918049;15,36Ê%
4625004028;15,36Ê%
2807901036;15,37Ê%
0801901048;15,37Ê%
0200302023;15,37Ê%
0818402004;15,37Ê%
2807912066;15,37Ê%
4109110026;15,37Ê%
2004504004;15,37Ê%
1706602002;15,37Ê%
3600201002;15,37Ê%
